# 242Pu total cross section. 
# Source: ENDF/B-VIII.0

# E / MeV	CS / barn
3.08E+00	104.102
3.08E+00	103.694
3.09E+00	100.414
3.09E+00	99.1929
3.10E+00	95.3401
3.10E+00	94.9885
3.10E+00	94.083
3.11E+00	91.0693
3.12E+00	88.4275
3.12E+00	87.7549
3.13E+00	85.6803
3.14E+00	83.3246
3.14E+00	81.1035
3.15E+00	80.8344
3.15E+00	78.6955
3.16E+00	76.4428
3.17E+00	74.4849
3.18E+00	72.6429
3.18E+00	72.4212
3.19E+00	70.675
3.20E+00	68.805
3.20E+00	67.1665
3.21E+00	65.6285
3.21E+00	65.4438
3.22E+00	63.9741
3.23E+00	62.4184
3.24E+00	61.0459
3.25E+00	59.7481
3.25E+00	59.5925
3.25E+00	58.3431
3.26E+00	57.024
3.27E+00	55.8634
3.28E+00	54.7691
3.28E+00	54.6368
3.29E+00	53.5652
3.30E+00	52.4365
3.31E+00	50.7529
3.31E+00	50.4975
3.32E+00	50.3841
3.33E+00	48.5021
3.34E+00	48.2284
3.35E+00	46.8218
3.35E+00	46.7243
3.36E+00	45.9442
3.37E+00	44.5832
3.38E+00	43.8522
3.40E+00	42.6666
3.40E+00	42.5847
3.41E+00	41.9342
3.42E+00	40.7991
3.43E+00	40.1866
3.44E+00	39.1932
3.45E+00	39.1245
3.45E+00	38.5753
3.47E+00	37.6171
3.48E+00	37.0969
3.49E+00	36.2531
3.49E+00	36.1948
3.50E+00	35.7263
3.52E+00	34.9089
3.53E+00	34.4639
3.54E+00	33.7421
3.54E+00	33.6925
3.56E+00	32.7458
3.57E+00	32.5967
3.59E+00	31.5551
3.60E+00	31.1985
3.62E+00	30.618
3.62E+00	30.5782
3.64E+00	29.8085
3.64E+00	29.6882
3.67E+00	28.8499
3.68E+00	28.5568
3.69E+00	28.0814
3.70E+00	28.049
3.72E+00	27.4241
3.72E+00	27.3257
3.75E+00	26.6319
3.76E+00	26.3954
3.77E+00	26.0105
3.79E+00	25.6698
3.80E+00	25.4579
3.83E+00	24.7988
3.84E+00	24.5992
3.85E+00	24.2756
3.87E+00	23.9944
3.88E+00	23.8194
3.91E+00	23.2661
3.92E+00	23.1006
3.95E+00	22.5813
3.96E+00	22.4241
3.96E+00	22.384
3.99E+00	21.9616
4.02E+00	21.6294
4.03E+00	21.3854
4.07E+00	20.8893
4.07E+00	20.8553
4.08E+00	20.8409
4.12E+00	20.3571
4.13E+00	20.2455
4.16E+00	19.8981
4.19E+00	19.6452
4.21E+00	19.4594
4.22E+00	19.3331
4.25E+00	19.0977
4.25E+00	19.0626
4.30E+00	18.6926
4.31E+00	18.6065
4.34E+00	18.3383
4.37E+00	18.1416
4.37E+00	18.1205
4.39E+00	18.0065
4.43E+00	17.7318
4.43E+00	17.7045
4.48E+00	17.4145
4.49E+00	17.3468
4.53E+00	17.136
4.56E+00	16.9652
4.59E+00	16.8182
4.59E+00	16.7961
4.66E+00	16.4872
4.68E+00	16.3597
4.72E+00	16.1923
